,QTY,PART NUMBER,PART NAME,WEB
0,1,8364T36,ROTARY SHAFT,https://www.mcmaster.com/8364T36/
1,1,9338T4,MOUNTED LINEAR BALL BEARING,https://www.mcmaster.com/9338T4/
2,2,6435K18,NO THREADS_CLAMPING SHAFT COLLAR,https://www.mcmaster.com/6435K18/
3,4,9414T19,SET SCREW SHAFT COLLAR,https://www.mcmaster.com/9414T19/
4,1,9657K551,COMPRESSION SPRING,https://www.mcmaster.com/9657K551/
5,1,92141A038,18-8 STAINLESS STEEL WASHER,https://www.mcmaster.com/92141A038/
6,2,8389K21,NO THREADS_EXTRA-WIDE CLAMPING TWO-PIECE SHAFT COLLAR,https://www.mcmaster.com/8389K21/
7,1,90131A557,ABRASION-RESISTANT CUSHIONING WASHER,https://www.mcmaster.com/90131A557/
8,5,5388K22,WORM-DRIVE CLAMPS FOR FIRM HOSE AND TUBE,https://www.mcmaster.com/5388K22/
9,1,93560A180,NO THREADS_STEEL HEX WELD NUT,https://www.mcmaster.com/93560A180/
10,3,91251A245,NO THREADS_BLACK-OXIDE ALLOY STEEL SOCKET HEAD SCREW,https://www.mcmaster.com/91251A245/
11,2,92141A011,18-8 STAINLESS STEEL WASHER,https://www.mcmaster.com/92141A011/
12,5,9712K77,BELLEVILLE DISC SPRING,https://www.mcmaster.com/9712K77/
13,1,91251A714,NO THREADS_BLACK-OXIDE ALLOY STEEL SOCKET HEAD SCREW,https://www.mcmaster.com/91251A714/
14,1,5862K129,NEODYMIUM MAGNET,https://www.mcmaster.com/5862K129/
15,2,91251A249,NO THREADS_BLACK-OXIDE ALLOY STEEL SOCKET HEAD SCREW,https://www.mcmaster.com/91251A249/
16,1,92510A802,ALUMINUM UNTHREADED SPACER,https://www.mcmaster.com/92510A802/
17,4,9540K756,UNTHREADED BUMPER,https://www.mcmaster.com/9540K756/
18,11,91235A120,BELLEVILLE SPRING LOCK WASHER,https://www.mcmaster.com/91235A120/
19,11,97135A230,NO THREADS_HIGH-STRENGTH STEEL NYLON-INSERT LOCKNUT,https://www.mcmaster.com/97135A230/
20,4,91251A642,NO THREADS_BLACK-OXIDE ALLOY STEEL SOCKET HEAD SCREW,https://www.mcmaster.com/91251A642/
21,1,92510A805,ALUMINUM UNTHREADED SPACER,https://www.mcmaster.com/92510A805/
22,3,90417A136,NO THREADS_PHILLIPS ROUNDED HEAD THREAD-FORMING SCREWS,https://www.mcmaster.com/90417A136/
23,3,92141A029,18-8 STAINLESS STEEL WASHER,https://www.mcmaster.com/92141A029/
24,4,91251A542,NO THREADS_BLACK-OXIDE ALLOY STEEL SOCKET HEAD SCREW,https://www.mcmaster.com/91251A542/
